pattern,n,operation,structure,time_us
Sorted Ascending,200,Batch Insert,AVLTreeMap,7.26
Sorted Ascending,300,Batch Insert,AVLTreeMap,11.22
Sorted Ascending,400,Batch Insert,AVLTreeMap,15.06
Sorted Ascending,500,Batch Insert,AVLTreeMap,20.48
Sorted Ascending,600,Batch Insert,AVLTreeMap,25.5
Sorted Ascending,700,Batch Insert,AVLTreeMap,31.78
Sorted Ascending,800,Batch Insert,AVLTreeMap,30.98
Sorted Ascending,900,Batch Insert,AVLTreeMap,35.66
Sorted Ascending,1000,Batch Insert,AVLTreeMap,51.48
Sorted Ascending,1500,Batch Insert,AVLTreeMap,63.7
Sorted Ascending,2000,Batch Insert,AVLTreeMap,91.94
Sorted Ascending,2500,Batch Insert,AVLTreeMap,116.96
Sorted Ascending,3000,Batch Insert,AVLTreeMap,164.44
Sorted Ascending,3500,Batch Insert,AVLTreeMap,180.42
Sorted Ascending,4000,Batch Insert,AVLTreeMap,169.7
Sorted Ascending,4500,Batch Insert,AVLTreeMap,201.38
Sorted Ascending,5000,Batch Insert,AVLTreeMap,222.44
Sorted Ascending,6000,Batch Insert,AVLTreeMap,328.9
Sorted Ascending,7000,Batch Insert,AVLTreeMap,307.82
Sorted Ascending,8000,Batch Insert,AVLTreeMap,366.8
Sorted Ascending,9000,Batch Insert,AVLTreeMap,444.1
Sorted Ascending,10000,Batch Insert,AVLTreeMap,451.18
Sorted Ascending,100,Batch Insert,TreeMap,3.7
Sorted Ascending,200,Batch Insert,TreeMap,8.08
Sorted Ascending,300,Batch Insert,TreeMap,12.04
Sorted Ascending,400,Batch Insert,TreeMap,16.86
Sorted Ascending,500,Batch Insert,TreeMap,21.46
Sorted Ascending,600,Batch Insert,TreeMap,26.0
Sorted Ascending,700,Batch Insert,TreeMap,31.12
Sorted Ascending,800,Batch Insert,TreeMap,36.96
Sorted Ascending,900,Batch Insert,TreeMap,41.42
Sorted Ascending,1000,Batch Insert,TreeMap,49.12
Sorted Ascending,1500,Batch Insert,TreeMap,72.22
Sorted Ascending,2000,Batch Insert,TreeMap,103.94
Sorted Ascending,2500,Batch Insert,TreeMap,128.04
Sorted Ascending,3000,Batch Insert,TreeMap,172.28
Sorted Ascending,3500,Batch Insert,TreeMap,173.72
Sorted Ascending,4000,Batch Insert,TreeMap,200.06
Sorted Ascending,4500,Batch Insert,TreeMap,229.14
Sorted Ascending,5000,Batch Insert,TreeMap,259.4
Sorted Ascending,6000,Batch Insert,TreeMap,328.8
Sorted Ascending,7000,Batch Insert,TreeMap,381.98
Sorted Ascending,8000,Batch Insert,TreeMap,448.58
Sorted Ascending,9000,Batch Insert,TreeMap,508.92
Sorted Ascending,10000,Batch Insert,TreeMap,571.46
Sorted Descending,100,Batch Insert,Treap,3.14
Sorted Descending,200,Batch Insert,Treap,6.74
